Provinsi,Tahun,Kelapa_Sawit_Ton
KALIMANTAN UTARA,2010,
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,164730
KALIMANTAN UTARA,2014,255700
KALIMANTAN UTARA,2015,268100
KALIMANTAN UTARA,2016,167700
KALIMANTAN UTARA,2017,205200
KALIMANTAN UTARA,2018,305100
KALIMANTAN UTARA,2019,281400
KALIMANTAN UTARA,2020,301600
SULAWESI UTARA,2008,
SULAWESI UTARA,2009,
SULAWESI UTARA,2010,
SULAWESI UTARA,2011,
SULAWESI UTARA,2012,0
SULAWESI UTARA,2013,0
SULAWESI UTARA,2014,0
SULAWESI UTARA,2015,0
SULAWESI UTARA,2016,
SULAWESI UTARA,2017,
SULAWESI UTARA,2018,3786500
SULAWESI UTARA,2019,
SULAWESI UTARA,2020,
SULAWESI TENGAH,2008,126600
SULAWESI TENGAH,2009,144300
SULAWESI TENGAH,2010,145800
SULAWESI TENGAH,2011,185100
SULAWESI TENGAH,2012,234080
SULAWESI TENGAH,2013,244070
SULAWESI TENGAH,2014,254400
SULAWESI TENGAH,2015,275300
SULAWESI TENGAH,2016,316800
SULAWESI TENGAH,2017,417100
SULAWESI TENGAH,2018,383600
SULAWESI TENGAH,2019,381700
SULAWESI TENGAH,2020,371700
SULAWESI SELATAN,2008,21500
SULAWESI SELATAN,2009,28200
SULAWESI SELATAN,2010,34900
SULAWESI SELATAN,2011,42700
SULAWESI SELATAN,2012,47180
SULAWESI SELATAN,2013,49820
SULAWESI SELATAN,2014,78900
SULAWESI SELATAN,2015,111500
SULAWESI SELATAN,2016,105100
SULAWESI SELATAN,2017,113100
SULAWESI SELATAN,2018,105700
SULAWESI SELATAN,2019,91000
SULAWESI SELATAN,2020,100300
SULAWESI TENGGARA,2008,10600
SULAWESI TENGGARA,2009,0
SULAWESI TENGGARA,2010,15200
SULAWESI TENGGARA,2011,16200
SULAWESI TENGGARA,2012,28860
SULAWESI TENGGARA,2013,71280
SULAWESI TENGGARA,2014,71000
SULAWESI TENGGARA,2015,72400
SULAWESI TENGGARA,2016,65400
SULAWESI TENGGARA,2017,86900
SULAWESI TENGGARA,2018,106100
SULAWESI TENGGARA,2019,59500
SULAWESI TENGGARA,2020,76300
