Provinsi,Tahun,Bawang_Merah_Ton,
NUSA TENGGARA BARAT,2015,160201,
NUSA TENGGARA BARAT,2016,211804,
NUSA TENGGARA BARAT,2017,195458,
NUSA TENGGARA BARAT,2018,212885,
NUSA TENGGARA BARAT,2019,188255,
NUSA TENGGARA BARAT,2020,188740,
NUSA TENGGARA TIMUR,2000,3987,
NUSA TENGGARA TIMUR,2001,14685,
NUSA TENGGARA TIMUR,2002,6524,
NUSA TENGGARA TIMUR,2003,5367,
NUSA TENGGARA TIMUR,2004,5739,
NUSA TENGGARA TIMUR,2005,3837,
NUSA TENGGARA TIMUR,2006,7143,
NUSA TENGGARA TIMUR,2007,7145,
NUSA TENGGARA TIMUR,2008,15139,
NUSA TENGGARA TIMUR,2009,16603,
NUSA TENGGARA TIMUR,2010,3879,
NUSA TENGGARA TIMUR,2011,2436,
NUSA TENGGARA TIMUR,2012,2062,
NUSA TENGGARA TIMUR,2013,3100,
NUSA TENGGARA TIMUR,2014,2229,
NUSA TENGGARA TIMUR,2015,2082,
NUSA TENGGARA TIMUR,2016,2390,
NUSA TENGGARA TIMUR,2017,7772,
NUSA TENGGARA TIMUR,2018,4542,
NUSA TENGGARA TIMUR,2019,8254,
NUSA TENGGARA TIMUR,2020,10424,
KALIMANTAN BARAT,2000,0,
KALIMANTAN BARAT,2001,0,
KALIMANTAN BARAT,2002,0,
KALIMANTAN BARAT,2003,0,
KALIMANTAN BARAT,2004,0,
KALIMANTAN BARAT,2005,0,
KALIMANTAN BARAT,2006,5,
KALIMANTAN BARAT,2007,0,
KALIMANTAN BARAT,2008,0,
KALIMANTAN BARAT,2009,0,
KALIMANTAN BARAT,2010,0,
KALIMANTAN BARAT,2011,0,
KALIMANTAN BARAT,2012,0,
KALIMANTAN BARAT,2013,0,
KALIMANTAN BARAT,2014,4,
KALIMANTAN BARAT,2015,15,
KALIMANTAN BARAT,2016,106,
KALIMANTAN BARAT,2017,136,
KALIMANTAN BARAT,2018,85,
KALIMANTAN BARAT,2019,53,
KALIMANTAN BARAT,2020,227,
KALIMANTAN TENGAH,2000,0,
KALIMANTAN TENGAH,2001,0,
KALIMANTAN TENGAH,2002,0,
KALIMANTAN TENGAH,2003,0,
KALIMANTAN TENGAH,2004,0,
KALIMANTAN TENGAH,2005,0,
KALIMANTAN TENGAH,2006,0,
KALIMANTAN TENGAH,2007,130,
KALIMANTAN TENGAH,2008,0,
KALIMANTAN TENGAH,2009,0,
KALIMANTAN TENGAH,2010,0,
KALIMANTAN TENGAH,2011,0,
KALIMANTAN TENGAH,2012,0,
KALIMANTAN TENGAH,2013,56,
KALIMANTAN TENGAH,2014,124,
KALIMANTAN TENGAH,2015,81,
KALIMANTAN TENGAH,2016,200,
KALIMANTAN TENGAH,2017,302,
KALIMANTAN TENGAH,2018,696,
KALIMANTAN TENGAH,2019,396,
KALIMANTAN TENGAH,2020,79,
KALIMANTAN SELATAN,2000,47,
KALIMANTAN SELATAN,2001,15,
KALIMANTAN SELATAN,2002,120,
KALIMANTAN SELATAN,2003,0,
KALIMANTAN SELATAN,2004,0,
KALIMANTAN SELATAN,2005,0,
KALIMANTAN SELATAN,2006,0,
KALIMANTAN SELATAN,2007,5,
KALIMANTAN SELATAN,2008,9,
KALIMANTAN SELATAN,2009,16,
KALIMANTAN SELATAN,2010,0,
KALIMANTAN SELATAN,2011,7,
KALIMANTAN SELATAN,2012,0,
KALIMANTAN SELATAN,2013,53,
KALIMANTAN SELATAN,2014,475,
KALIMANTAN SELATAN,2015,867,
KALIMANTAN SELATAN,2016,1160,
