Provinsi,Tahun,Padi_Ton
JAWA TENGAH,2002,8503523.00
JAWA TENGAH,2003,8123839.00
JAWA TENGAH,2004,8512555.00
JAWA TENGAH,2005,8424096.00
JAWA TENGAH,2006,8729291.00
JAWA TENGAH,2007,8616855.00
JAWA TENGAH,2008,9136405.00
JAWA TENGAH,2009,9600415.00
JAWA TENGAH,2010,10110830.00
JAWA TENGAH,2011,9391959.00
JAWA TENGAH,2012,10232934.00
JAWA TENGAH,2013,10344816.00
JAWA TENGAH,2014,9648104.00
JAWA TENGAH,2015,11301422.00
JAWA TENGAH,2018,10499588.23
JAWA TENGAH,2019,9655653.98
JAWA TENGAH,2020,9489164.62
JAWA TENGAH,2021,9765167.49
DI YOGYAKARTA,2000,654289.00
DI YOGYAKARTA,2001,661802.00
DI YOGYAKARTA,2002,653577.00
DI YOGYAKARTA,2003,652280.00
DI YOGYAKARTA,2004,692998.00
DI YOGYAKARTA,2005,670703.00
DI YOGYAKARTA,2006,708163.00
DI YOGYAKARTA,2007,709294.00
DI YOGYAKARTA,2008,798232.00
DI YOGYAKARTA,2009,837930.00
DI YOGYAKARTA,2010,823887.00
DI YOGYAKARTA,2011,842934.00
DI YOGYAKARTA,2012,946224.00
DI YOGYAKARTA,2013,921824.00
DI YOGYAKARTA,2014,919573.00
DI YOGYAKARTA,2015,945136.00
DI YOGYAKARTA,2018,514935.49
DI YOGYAKARTA,2019,533477.40
DI YOGYAKARTA,2020,523395.95
DI YOGYAKARTA,2021,565032.13
JAWA TIMUR,2000,9224353.00
JAWA TIMUR,2001,8672791.00
JAWA TIMUR,2002,8803878.00
JAWA TIMUR,2003,8914995.00
JAWA TIMUR,2004,9002025.00
JAWA TIMUR,2005,9007265.00
JAWA TIMUR,2006,9346947.00
JAWA TIMUR,2007,9402029.00
JAWA TIMUR,2008,10474773.00
JAWA TIMUR,2009,11259085.00
JAWA TIMUR,2010,11643773.00
JAWA TIMUR,2011,10576543.00
JAWA TIMUR,2012,12198707.00
JAWA TIMUR,2013,12049342.00
JAWA TIMUR,2014,12397049.00
JAWA TIMUR,2015,13154967.00
JAWA TIMUR,2018,10203213.17
JAWA TIMUR,2019,9580933.88
JAWA TIMUR,2020,9944538.26
JAWA TIMUR,2021,9908931.80
BANTEN,2000,
BANTEN,2001,1433397.00
BANTEN,2002,1468765.00
BANTEN,2003,1691923.00
BANTEN,2004,1812495.00
BANTEN,2005,1861776.00
BANTEN,2006,1751468.00
BANTEN,2007,1816140.00
BANTEN,2008,1818166.00
BANTEN,2009,1849007.00
BANTEN,2010,2048047.00
BANTEN,2011,1949714.00
BANTEN,2012,1865893.00
BANTEN,2013,2083608.00
BANTEN,2014,2045883.00
BANTEN,2015,2188996.00
BANTEN,2018,1687783.30
BANTEN,2019,1470503.35
BANTEN,2020,1655170.09
BANTEN,2021,1629648.27
BALI,2000,826838.00
BALI,2001,789232.00
BALI,2002,808970.00
BALI,2003,793260.00
BALI,2004,788360.00
BALI,2005,786961.00
BALI,2006,840891.00
BALI,2007,839775.00
BALI,2008,840465.00
BALI,2009,878764.00
BALI,2010,869161.00
BALI,2011,858316.00
BALI,2012,865553.00
BALI,2013,882092.00
BALI,2014,857944.00
BALI,2015,853710.00
BALI,2018,667069.06
BALI,2019,579320.53
BALI,2020,532168.45
BALI,2021,611455.63
NUSA TENGGARA BARAT,2000,1488191.00
NUSA TENGGARA BARAT,2001,1458616.00
NUSA TENGGARA BARAT,2002,1370171.00
NUSA TENGGARA BARAT,2003,1422440.00
NUSA TENGGARA BARAT,2004,1466757.00
NUSA TENGGARA BARAT,2005,1367869.00
NUSA TENGGARA BARAT,2006,1552627.00
NUSA TENGGARA BARAT,2007,1526347.00
NUSA TENGGARA BARAT,2008,1750677.00
NUSA TENGGARA BARAT,2009,1870775.00
NUSA TENGGARA BARAT,2010,1774499.00
NUSA TENGGARA BARAT,2011,2067137.00
NUSA TENGGARA BARAT,2012,2114231.00
NUSA TENGGARA BARAT,2013,2193698.00
NUSA TENGGARA BARAT,2014,2116637.00
NUSA TENGGARA BARAT,2015,2417392.00
NUSA TENGGARA BARAT,2018,1460338.81
NUSA TENGGARA BARAT,2019,1402182.39
NUSA TENGGARA BARAT,2020,1317189.81
NUSA TENGGARA BARAT,2021,1432460.26
NUSA TENGGARA TIMUR,2000,461413.00
NUSA TENGGARA TIMUR,2001,448001.00
NUSA TENGGARA TIMUR,2002,468011.00
NUSA TENGGARA TIMUR,2003,509419.00
NUSA TENGGARA TIMUR,2004,552205.00
NUSA TENGGARA TIMUR,2005,461007.00
NUSA TENGGARA TIMUR,2006,511911.00
NUSA TENGGARA TIMUR,2007,505628.00
NUSA TENGGARA TIMUR,2008,577895.00
NUSA TENGGARA TIMUR,2009,607359.00
NUSA TENGGARA TIMUR,2010,555493.00
NUSA TENGGARA TIMUR,2011,591371.00
NUSA TENGGARA TIMUR,2012,698566.00
NUSA TENGGARA TIMUR,2013,729666.00
