Provinsi,Tahun,Daging_Ayam_Buras_Ton
SULAWESI TENGAH,2006,3284
SULAWESI TENGAH,2007,3651
SULAWESI TENGAH,2008,3463.27
SULAWESI TENGAH,2009,5544.85
SULAWESI TENGAH,2010,6535.57
SULAWESI TENGAH,2011,5002
SULAWESI TENGAH,2012,7959
SULAWESI TENGAH,2013,8526
SULAWESI TENGAH,2014,9069
SULAWESI TENGAH,2015,9386.13
SULAWESI TENGAH,2016,5736.03
SULAWESI TENGAH,2017,7720.83
SULAWESI TENGAH,2018,7588.54
SULAWESI TENGAH,2019,8079.04
SULAWESI TENGAH,2020,8539.77
SULAWESI SELATAN,2000,8121
SULAWESI SELATAN,2001,9066
SULAWESI SELATAN,2002,9923
SULAWESI SELATAN,2003,10426
SULAWESI SELATAN,2004,7682
SULAWESI SELATAN,2005,7912
SULAWESI SELATAN,2006,14858
SULAWESI SELATAN,2007,6763
SULAWESI SELATAN,2008,9299.57
SULAWESI SELATAN,2009,5127.6
SULAWESI SELATAN,2010,5373.58
SULAWESI SELATAN,2011,5483
SULAWESI SELATAN,2012,6261
SULAWESI SELATAN,2013,6331
SULAWESI SELATAN,2014,25838
SULAWESI SELATAN,2015,28099.04
SULAWESI SELATAN,2016,31523.97
SULAWESI SELATAN,2017,31330.65
SULAWESI SELATAN,2018,33210.67
SULAWESI SELATAN,2019,26392.32
SULAWESI SELATAN,2020,26458.3
SULAWESI TENGGARA,2000,6801
SULAWESI TENGGARA,2001,6674
SULAWESI TENGGARA,2002,6609
SULAWESI TENGGARA,2003,6686
SULAWESI TENGGARA,2004,7009
SULAWESI TENGGARA,2005,7730
SULAWESI TENGGARA,2006,9166
SULAWESI TENGGARA,2007,9293
SULAWESI TENGGARA,2008,9576.05
SULAWESI TENGGARA,2009,11262.6
SULAWESI TENGGARA,2010,13262.23
SULAWESI TENGGARA,2011,10706
SULAWESI TENGGARA,2012,11285
SULAWESI TENGGARA,2013,10136
SULAWESI TENGGARA,2014,8375
SULAWESI TENGGARA,2015,9247.79
SULAWESI TENGGARA,2016,9590.57
SULAWESI TENGGARA,2017,10155.7
SULAWESI TENGGARA,2018,10709.09
SULAWESI TENGGARA,2019,11708.17
SULAWESI TENGGARA,2020,12013.21
GORONTALO,2000,
GORONTALO,2001,308
GORONTALO,2002,381
GORONTALO,2003,465
GORONTALO,2004,504
GORONTALO,2005,476
GORONTALO,2006,1060
GORONTALO,2007,1212
GORONTALO,2008,1183.98
GORONTALO,2009,1183.98
GORONTALO,2010,1336.59
GORONTALO,2011,1191
GORONTALO,2012,1446
GORONTALO,2013,1513
GORONTALO,2014,1471
GORONTALO,2015,1515.68
GORONTALO,2016,1586.21
GORONTALO,2017,1629.41
GORONTALO,2018,1668.81
GORONTALO,2019,2488.29
GORONTALO,2020,2472.18
SULAWESI BARAT,2000,
SULAWESI BARAT,2001,
SULAWESI BARAT,2002,
SULAWESI BARAT,2003,
SULAWESI BARAT,2004,
SULAWESI BARAT,2005,3985
SULAWESI BARAT,2006,4185
SULAWESI BARAT,2007,2803
SULAWESI BARAT,2008,3682.64
SULAWESI BARAT,2009,2238.45
SULAWESI BARAT,2010,2480.71
SULAWESI BARAT,2011,5690
SULAWESI BARAT,2012,5593
SULAWESI BARAT,2013,4959
SULAWESI BARAT,2014,4951
SULAWESI BARAT,2015,5063.07
SULAWESI BARAT,2016,4791.88
SULAWESI BARAT,2017,4837.56
