Provinsi,Tahun,Cabai_Rawit_Ton
SULAWESI SELATAN,2002,
SULAWESI SELATAN,2003,3809
SULAWESI SELATAN,2004,8180
SULAWESI SELATAN,2005,9395
SULAWESI SELATAN,2006,9580
SULAWESI SELATAN,2007,8725
SULAWESI SELATAN,2008,11443
SULAWESI SELATAN,2009,9663
SULAWESI SELATAN,2010,14429
SULAWESI SELATAN,2011,15913
SULAWESI SELATAN,2012,20672
SULAWESI SELATAN,2013,18006
SULAWESI SELATAN,2014,20794
SULAWESI SELATAN,2015,26571
SULAWESI SELATAN,2016,27543
SULAWESI SELATAN,2017,45770
SULAWESI SELATAN,2018,36568
SULAWESI SELATAN,2019,26115
SULAWESI SELATAN,2020,24052
SULAWESI TENGGARA,2000,
SULAWESI TENGGARA,2001,
SULAWESI TENGGARA,2002,
SULAWESI TENGGARA,2003,527
SULAWESI TENGGARA,2004,2076
SULAWESI TENGGARA,2005,718
SULAWESI TENGGARA,2006,1577
SULAWESI TENGGARA,2007,1488
SULAWESI TENGGARA,2008,917
SULAWESI TENGGARA,2009,2601
SULAWESI TENGGARA,2010,4952
SULAWESI TENGGARA,2011,2848
SULAWESI TENGGARA,2012,4086
SULAWESI TENGGARA,2013,4869
SULAWESI TENGGARA,2014,6820
SULAWESI TENGGARA,2015,3594
SULAWESI TENGGARA,2016,8074
SULAWESI TENGGARA,2017,3313
SULAWESI TENGGARA,2018,4485
SULAWESI TENGGARA,2019,3669
SULAWESI TENGGARA,2020,3801
GORONTALO,2000,
GORONTALO,2001,
GORONTALO,2002,
GORONTALO,2003,5377
GORONTALO,2004,9707
GORONTALO,2005,9000
GORONTALO,2006,10939
GORONTALO,2007,10024
GORONTALO,2008,11260
GORONTALO,2009,14690
GORONTALO,2010,17001
GORONTALO,2011,10869
GORONTALO,2012,11834
GORONTALO,2013,12523
GORONTALO,2014,11771
GORONTALO,2015,8232
GORONTALO,2016,11550
GORONTALO,2017,25126
GORONTALO,2018,25695
GORONTALO,2019,20580
GORONTALO,2020,14729
SULAWESI BARAT,2000,
SULAWESI BARAT,2001,
SULAWESI BARAT,2002,
SULAWESI BARAT,2003,
SULAWESI BARAT,2004,
SULAWESI BARAT,2005,
SULAWESI BARAT,2006,1971
SULAWESI BARAT,2007,2368
SULAWESI BARAT,2008,956
SULAWESI BARAT,2009,1590
SULAWESI BARAT,2010,2004
SULAWESI BARAT,2011,1864
SULAWESI BARAT,2012,2168
SULAWESI BARAT,2013,1974
SULAWESI BARAT,2014,2288
SULAWESI BARAT,2015,1412
SULAWESI BARAT,2016,2496
SULAWESI BARAT,2017,2651
SULAWESI BARAT,2018,2659
SULAWESI BARAT,2019,2663
SULAWESI BARAT,2020,1399
MALUKU,2000,
MALUKU,2001,
MALUKU,2002,
MALUKU,2003,11
MALUKU,2004,123
MALUKU,2005,818
MALUKU,2006,1595
MALUKU,2007,1907
MALUKU,2008,618
MALUKU,2009,244
MALUKU,2010,768
MALUKU,2011,1656
MALUKU,2012,2030
MALUKU,2013,3495
MALUKU,2014,2917
MALUKU,2015,2849
MALUKU,2016,3355
MALUKU,2017,4039
MALUKU,2018,3733
MALUKU,2019,3440
MALUKU,2020,5027
MALUKU UTARA,2000,
MALUKU UTARA,2001,
MALUKU UTARA,2002,
MALUKU UTARA,2003,340
MALUKU UTARA,2004,659
MALUKU UTARA,2005,542
MALUKU UTARA,2006,565
MALUKU UTARA,2007,553
MALUKU UTARA,2008,1082
MALUKU UTARA,2009,290
MALUKU UTARA,2010,362
MALUKU UTARA,2011,504
MALUKU UTARA,2012,523
MALUKU UTARA,2013,838
MALUKU UTARA,2014,5174
MALUKU UTARA,2015,2266
MALUKU UTARA,2016,1307
MALUKU UTARA,2017,1262
MALUKU UTARA,2018,1097
MALUKU UTARA,2019,4650
MALUKU UTARA,2020,4527
PAPUA BARAT,2000,
PAPUA BARAT,2001,
PAPUA BARAT,2002,
PAPUA BARAT,2003,
PAPUA BARAT,2004,
PAPUA BARAT,2005,400
PAPUA BARAT,2006,254
PAPUA BARAT,2007,
PAPUA BARAT,2008,678
PAPUA BARAT,2009,2339
PAPUA BARAT,2010,3122
PAPUA BARAT,2011,1643
PAPUA BARAT,2012,1652
PAPUA BARAT,2013,831
PAPUA BARAT,2014,749
PAPUA BARAT,2015,324
PAPUA BARAT,2016,1304
PAPUA BARAT,2017,889
PAPUA BARAT,2018,625
PAPUA BARAT,2019,3277
PAPUA BARAT,2020,2351
PAPUA,2000,
PAPUA,2001,
PAPUA,2002,
PAPUA,2003,0
PAPUA,2004,
PAPUA,2005,1030
PAPUA,2006,2091
PAPUA,2007,
PAPUA,2008,6805
PAPUA,2009,6457
PAPUA,2010,4176
PAPUA,2011,4031
PAPUA,2012,5143
PAPUA,2013,3637
PAPUA,2014,3648
PAPUA,2015,2513
PAPUA,2016,7954
PAPUA,2017,6425
PAPUA,2018,6944
PAPUA,2019,4388
PAPUA,2020,3436
