Provinsi,Tahun,Daging_Ayam_Petelur_Ton
DI YOGYAKARTA,2003,1586
DI YOGYAKARTA,2004,2363
DI YOGYAKARTA,2005,1362
DI YOGYAKARTA,2006,1509
DI YOGYAKARTA,2007,2832
DI YOGYAKARTA,2008,2220
DI YOGYAKARTA,2009,2414.67
DI YOGYAKARTA,2010,2609.79
DI YOGYAKARTA,2011,2275
DI YOGYAKARTA,2012,2008
DI YOGYAKARTA,2013,2599
DI YOGYAKARTA,2014,3028
DI YOGYAKARTA,2015,3634.98
DI YOGYAKARTA,2016,3793.11
DI YOGYAKARTA,2017,3907.71
DI YOGYAKARTA,2018,3914.96
DI YOGYAKARTA,2019,3047.06
DI YOGYAKARTA,2020,2999.04
JAWA TIMUR,2000,2085
JAWA TIMUR,2001,4667
JAWA TIMUR,2002,4974
JAWA TIMUR,2003,5852
JAWA TIMUR,2004,5800
JAWA TIMUR,2005,6884
JAWA TIMUR,2006,7336
JAWA TIMUR,2007,7887
JAWA TIMUR,2008,9072
JAWA TIMUR,2009,5424.95
JAWA TIMUR,2010,6876.89
JAWA TIMUR,2011,7075
JAWA TIMUR,2012,11155
JAWA TIMUR,2013,18552
JAWA TIMUR,2014,25726
JAWA TIMUR,2015,30311.82
JAWA TIMUR,2016,33105.54
JAWA TIMUR,2017,32288.33
JAWA TIMUR,2018,44380.91
JAWA TIMUR,2019,46040
JAWA TIMUR,2020,47191
BANTEN,2000,
BANTEN,2001,3238
BANTEN,2002,3853
BANTEN,2003,1478
BANTEN,2004,1235
BANTEN,2005,881
BANTEN,2006,2825
BANTEN,2007,2668
BANTEN,2008,2108
BANTEN,2009,1894.05
BANTEN,2010,1558.31
BANTEN,2011,2547
BANTEN,2012,1104
BANTEN,2013,2148
BANTEN,2014,3905
BANTEN,2015,4200.24
BANTEN,2016,4786.45
BANTEN,2017,4558.03
BANTEN,2018,8624.53
BANTEN,2019,3086.31
BANTEN,2020,3712.96
BALI,2000,1199
BALI,2001,18576
BALI,2002,1531
BALI,2003,2004
BALI,2004,2483
BALI,2005,1211
BALI,2006,2318
BALI,2007,1007
BALI,2008,1090
BALI,2009,1097.51
BALI,2010,1172.94
BALI,2011,1390
BALI,2012,1366
BALI,2013,2372
BALI,2014,2373
BALI,2015,2707.54
BALI,2016,3004.36
BALI,2017,2874.01
BALI,2018,3576.12
BALI,2019,2535.89
BALI,2020,2586.61
NUSA TENGGARA BARAT,2000,332
NUSA TENGGARA BARAT,2001,3036
NUSA TENGGARA BARAT,2002,160
NUSA TENGGARA BARAT,2003,3653
NUSA TENGGARA BARAT,2004,4439
NUSA TENGGARA BARAT,2005,7148
NUSA TENGGARA BARAT,2006,135
NUSA TENGGARA BARAT,2007,62
NUSA TENGGARA BARAT,2008,65
NUSA TENGGARA BARAT,2009,149.21
NUSA TENGGARA BARAT,2010,174.03
NUSA TENGGARA BARAT,2011,120
NUSA TENGGARA BARAT,2012,104
NUSA TENGGARA BARAT,2013,147
NUSA TENGGARA BARAT,2014,218
NUSA TENGGARA BARAT,2015,256.43
NUSA TENGGARA BARAT,2016,358.14
NUSA TENGGARA BARAT,2017,1028.49
NUSA TENGGARA BARAT,2018,1085.76
NUSA TENGGARA BARAT,2019,1731.43
NUSA TENGGARA BARAT,2020,1812.63
NUSA TENGGARA TIMUR,2000,
NUSA TENGGARA TIMUR,2001,142
NUSA TENGGARA TIMUR,2002,61
NUSA TENGGARA TIMUR,2003,62
NUSA TENGGARA TIMUR,2004,69
NUSA TENGGARA TIMUR,2005,63
NUSA TENGGARA TIMUR,2006,63
NUSA TENGGARA TIMUR,2007,66
NUSA TENGGARA TIMUR,2008,58
NUSA TENGGARA TIMUR,2009,20
NUSA TENGGARA TIMUR,2010,77.66
NUSA TENGGARA TIMUR,2011,132
NUSA TENGGARA TIMUR,2012,108
NUSA TENGGARA TIMUR,2013,34
NUSA TENGGARA TIMUR,2014,34
NUSA TENGGARA TIMUR,2015,34.21
NUSA TENGGARA TIMUR,2016,34.33
NUSA TENGGARA TIMUR,2017,33.89
NUSA TENGGARA TIMUR,2018,34.93
NUSA TENGGARA TIMUR,2019,125.97
NUSA TENGGARA TIMUR,2020,137.31
KALIMANTAN BARAT,2000,
KALIMANTAN BARAT,2001,
KALIMANTAN BARAT,2002,
KALIMANTAN BARAT,2003,
KALIMANTAN BARAT,2004,188
KALIMANTAN BARAT,2005,368
KALIMANTAN BARAT,2006,1852
KALIMANTAN BARAT,2007,480
KALIMANTAN BARAT,2008,526
KALIMANTAN BARAT,2009,522.91
KALIMANTAN BARAT,2010,935.05
KALIMANTAN BARAT,2011,1484
KALIMANTAN BARAT,2012,1289
KALIMANTAN BARAT,2013,2496
KALIMANTAN BARAT,2014,3411
KALIMANTAN BARAT,2015,2738.01
KALIMANTAN BARAT,2016,2367.32
KALIMANTAN BARAT,2017,2255.86
KALIMANTAN BARAT,2018,3084.7
KALIMANTAN BARAT,2019,3126.38
KALIMANTAN BARAT,2020,3185.72
KALIMANTAN TENGAH,2000,5
KALIMANTAN TENGAH,2001,6
KALIMANTAN TENGAH,2002,3
KALIMANTAN TENGAH,2003,2
KALIMANTAN TENGAH,2004,6
KALIMANTAN TENGAH,2005,6
KALIMANTAN TENGAH,2006,20
KALIMANTAN TENGAH,2007,163
