Provinsi,Tahun,Bawang_Putih_Ton
KALIMANTAN TENGAH,2017,0
KALIMANTAN TENGAH,2018,
KALIMANTAN TENGAH,2019,0
KALIMANTAN TENGAH,2020,0
KALIMANTAN SELATAN,2000,1
KALIMANTAN SELATAN,2001,0
KALIMANTAN SELATAN,2002,0
KALIMANTAN SELATAN,2003,0
KALIMANTAN SELATAN,2004,0
KALIMANTAN SELATAN,2005,0
KALIMANTAN SELATAN,2006,0
KALIMANTAN SELATAN,2007,0
KALIMANTAN SELATAN,2008,0
KALIMANTAN SELATAN,2009,0
KALIMANTAN SELATAN,2010,0
KALIMANTAN SELATAN,2011,0
KALIMANTAN SELATAN,2012,0
KALIMANTAN SELATAN,2013,0
KALIMANTAN SELATAN,2014,0
KALIMANTAN SELATAN,2015,0
KALIMANTAN SELATAN,2016,0
KALIMANTAN SELATAN,2017,0
KALIMANTAN SELATAN,2018,
KALIMANTAN SELATAN,2019,1
KALIMANTAN SELATAN,2020,0
KALIMANTAN TIMUR,2000,0
KALIMANTAN TIMUR,2001,0
KALIMANTAN TIMUR,2002,0
KALIMANTAN TIMUR,2003,0
KALIMANTAN TIMUR,2004,4
KALIMANTAN TIMUR,2005,3
KALIMANTAN TIMUR,2006,0
KALIMANTAN TIMUR,2007,0
KALIMANTAN TIMUR,2008,0
KALIMANTAN TIMUR,2009,0
KALIMANTAN TIMUR,2010,0
KALIMANTAN TIMUR,2011,0
KALIMANTAN TIMUR,2012,0
KALIMANTAN TIMUR,2013,0
KALIMANTAN TIMUR,2014,0
KALIMANTAN TIMUR,2015,0
KALIMANTAN TIMUR,2016,0
KALIMANTAN TIMUR,2017,0
KALIMANTAN TIMUR,2018,
KALIMANTAN TIMUR,2019,0
KALIMANTAN TIMUR,2020,0
KALIMANTAN UTARA,2000,
KALIMANTAN UTARA,2001,
KALIMANTAN UTARA,2002,
KALIMANTAN UTARA,2003,
KALIMANTAN UTARA,2004,
KALIMANTAN UTARA,2005,
KALIMANTAN UTARA,2006,
KALIMANTAN UTARA,2007,
KALIMANTAN UTARA,2008,
KALIMANTAN UTARA,2009,
KALIMANTAN UTARA,2010,
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,
KALIMANTAN UTARA,2014,
KALIMANTAN UTARA,2015,0
KALIMANTAN UTARA,2016,0
KALIMANTAN UTARA,2017,0
KALIMANTAN UTARA,2018,
KALIMANTAN UTARA,2019,0
KALIMANTAN UTARA,2020,0
SULAWESI UTARA,2000,0
SULAWESI UTARA,2001,0
SULAWESI UTARA,2002,0
SULAWESI UTARA,2003,0
SULAWESI UTARA,2004,0
SULAWESI UTARA,2005,0
SULAWESI UTARA,2006,0
SULAWESI UTARA,2007,0
SULAWESI UTARA,2008,0
SULAWESI UTARA,2009,0
SULAWESI UTARA,2010,0
SULAWESI UTARA,2011,0
SULAWESI UTARA,2012,0
SULAWESI UTARA,2013,0
SULAWESI UTARA,2014,0
SULAWESI UTARA,2015,0
SULAWESI UTARA,2016,0
SULAWESI UTARA,2017,1
SULAWESI UTARA,2018,
SULAWESI UTARA,2019,1896
SULAWESI UTARA,2020,875
SULAWESI TENGAH,2000,80
SULAWESI TENGAH,2001,36
SULAWESI TENGAH,2002,54
SULAWESI TENGAH,2003,24
SULAWESI TENGAH,2004,11
SULAWESI TENGAH,2005,22
SULAWESI TENGAH,2006,0
SULAWESI TENGAH,2007,7
SULAWESI TENGAH,2008,0
SULAWESI TENGAH,2009,0
SULAWESI TENGAH,2010,0
SULAWESI TENGAH,2011,0
SULAWESI TENGAH,2012,0
SULAWESI TENGAH,2013,0
SULAWESI TENGAH,2014,0
SULAWESI TENGAH,2015,0
SULAWESI TENGAH,2016,9
SULAWESI TENGAH,2017,0
SULAWESI TENGAH,2018,20
SULAWESI TENGAH,2019,55
SULAWESI TENGAH,2020,934
SULAWESI SELATAN,2000,47
SULAWESI SELATAN,2001,151
SULAWESI SELATAN,2002,54
SULAWESI SELATAN,2003,45
SULAWESI SELATAN,2004,56
SULAWESI SELATAN,2005,101
SULAWESI SELATAN,2006,245
SULAWESI SELATAN,2007,102
SULAWESI SELATAN,2008,74
SULAWESI SELATAN,2009,86
SULAWESI SELATAN,2010,62
SULAWESI SELATAN,2011,58
SULAWESI SELATAN,2012,0
SULAWESI SELATAN,2013,0
SULAWESI SELATAN,2014,0
SULAWESI SELATAN,2015,0
SULAWESI SELATAN,2016,0
SULAWESI SELATAN,2017,0
