Provinsi,Tahun,Semangka_Ton,Salak_Ton,Nanas_Ton,Nangka_Ton,Mangga_Ton,JerukBesar_Ton,JambuAir_Ton,Pepaya_Ton,Rambutan_Ton,Alpukat_Ton,Durian_Ton,JambuBiji_Ton
SUMATERA SELATAN,2015,12546,1251,57521,12363,14557,479,2262,17306,18890,20815,32561,2608
BENGKULU,2015,1356,1588,243,3941,5055,271,473,6116,5091,5147,17951,732
LAMPUNG,2015,28238,3984,534775,42036,30880,743,5009,70542,36923,10780,46957,3493
KEP. BANGKA BELITUNG,2015,1596,1417,2826,5934,3288,52,366,1843,4332,325,5042,259
KEP. RIAU,2015,2561,694,541,2394,2208,33,170,2076,5319,72,5460,187
DKI JAKARTA,2015,0,436,0,770,5875,15,2300,503,1853,186,100,1153
JAWA BARAT,2015,27442,56981,187555,60623,310226,7442,14366,86485,169825,105238,107110,46790
JAWA TENGAH,2015,74992,471463,201039,104914,396636,17202,19923,103744,150519,31043,102452,48050
DI YOGYAKARTA,2015,9135,73283,454,28381,36740,418,3075,12543,24542,5662,8356,3283
JAWA TIMUR,2015,153523,105019,171304,116495,806645,15160,14110,266015,149148,78124,233715,28340
BANTEN,2015,1114,2171,254,8694,35292,146,2455,9824,35637,771,48546,3190
BALI,2015,29637,27204,409,49734,54554,305,540,8764,20702,2066,15254,1694
NUSA TENGGARA BARAT,2015,26796,52,24464,68360,120697,2460,3589,11311,16103,2437,14206,11403
NUSA TENGGARA TIMUR,2015,446,1139,4932,20637,55870,3816,1240,66686,4588,10483,1817,4754
KALIMANTAN BARAT,2015,7575,681,56178,8655,5049,1396,1574,9592,10044,223,19041,1557
KALIMANTAN TENGAH,2015,2742,776,6729,15668,5007,870,713,4072,14543,112,13191,1276
KALIMANTAN SELATAN,2015,16941,677,15661,20760,8574,686,1088,4162,34221,41,15418,1895
KALIMANTAN TIMUR,2015,17095,3737,8183,10862,6541,593,837,9156,19291,502,10173,1701
KALIMANTAN UTARA,2015,617,83,263,2133,2517,78,68,2711,1221,15,3333,76
SULAWESI UTARA,2015,5166,2452,8363,1654,7496,175,138,5484,4481,2111,7464,386
SULAWESI TENGAH,2015,5997,1464,840,6693,15631,766,702,4652,6465,2658,19962,647
SULAWESI SELATAN,2015,19890,9774,1261,32197,117205,39377,2320,42503,53419,19789,58518,11977
SULAWESI TENGGARA,2015,1294,478,2514,6184,25868,1529,828,7781,11621,409,9376,979
GORONTALO,2015,20,4,192,1185,7512,174,59,1247,562,24,3079,114
SULAWESI BARAT,2015,49,119,551,2435,11227,288,168,1423,4263,459,13109,159
MALUKU,2015,426,1088,822,5869,9440,571,625,11663,1264,1226,15941,494
MALUKU UTARA,2015,1003,130,231,2578,4671,480,480,1434,1981,549,2004,327
PAPUA BARAT,2015,343,87,50,184,679,62,70,223,642,184,1581,451
PAPUA,2015,1778,10,84,344,748,175,173,800,400,282,481,280
ACEH,2014,12518,232,703,6984,26220,12160,1859,10364,32955,5617,22613,1507
SUMATERA UTARA,2014,146889,354087,237581,12819,31378,13616,6840,26239,28325,10319,80442,12661
SUMATERA BARAT,2014,11778,2446,289,9131,9010,317,2152,13765,14898,42464,58343,2703
RIAU,2014,13651,1966,107438,14270,9785,327,994,7379,9840,483,10201,2413
JAMBI,2014,3043,921,218861,9219,4664,198,1194,10909,6418,1954,22475,1009
SUMATERA SELATAN,2014,8711,1221,57990,11513,10727,313,2111,11876,10643,13016,13994,2059
BENGKULU,2014,1401,1129,228,3332,4307,245,483,7679,5057,4780,17119,655
LAMPUNG,2014,25944,4697,560026,27476,19975,743,3261,104131,17438,10361,44299,2799
KEP. BANGKA BELITUNG,2014,2560,789,7372,4104,4206,75,322,1881,2325,335,6508,294
KEP. RIAU,2014,2373,635,999,2894,3066,86,240,2433,7438,61,7318,193
DKI JAKARTA,2014,0,56,0,1422,10647,4,3071,896,2793,188,195,2035
