Provinsi,Tahun,Kakao_Ton
SULAWESI SELATAN,2019,113400
SULAWESI SELATAN,2020,103500
SULAWESI TENGGARA,2008,117000
SULAWESI TENGGARA,2009,100000
SULAWESI TENGGARA,2010,100000
SULAWESI TENGGARA,2011,100000
SULAWESI TENGGARA,2012,100000
SULAWESI TENGGARA,2013,100000
SULAWESI TENGGARA,2014,100000
SULAWESI TENGGARA,2015,91800
SULAWESI TENGGARA,2016,100000
SULAWESI TENGGARA,2017,92900
SULAWESI TENGGARA,2018,100000
SULAWESI TENGGARA,2019,115000
SULAWESI TENGGARA,2020,114900
GORONTALO,2008,3400
GORONTALO,2009,3600
GORONTALO,2010,3700
GORONTALO,2011,2900
GORONTALO,2012,3710
GORONTALO,2013,3830
GORONTALO,2014,2900
GORONTALO,2015,2000
GORONTALO,2016,3600
GORONTALO,2017,3800
GORONTALO,2018,4900
GORONTALO,2019,4400
GORONTALO,2020,4400
SULAWESI BARAT,2008,149500
SULAWESI BARAT,2009,96900
SULAWESI BARAT,2010,96000
SULAWESI BARAT,2011,80200
SULAWESI BARAT,2012,76160
SULAWESI BARAT,2013,71820
SULAWESI BARAT,2014,72000
SULAWESI BARAT,2015,57100
SULAWESI BARAT,2016,61100
SULAWESI BARAT,2017,54300
SULAWESI BARAT,2018,71800
SULAWESI BARAT,2019,71400
SULAWESI BARAT,2020,71300
MALUKU,2008,6900
MALUKU,2009,8500
MALUKU,2010,7800
MALUKU,2011,9800
MALUKU,2012,11710
MALUKU,2013,8560
MALUKU,2014,9700
MALUKU,2015,8600
MALUKU,2016,8900
MALUKU,2017,9000
MALUKU,2018,8200
MALUKU,2019,8200
MALUKU,2020,8200
MALUKU UTARA,2008,12500
MALUKU UTARA,2009,13100
MALUKU UTARA,2010,12900
MALUKU UTARA,2011,9800
MALUKU UTARA,2012,11020
MALUKU UTARA,2013,10660
MALUKU UTARA,2014,10400
MALUKU UTARA,2015,8700
MALUKU UTARA,2016,8800
MALUKU UTARA,2017,8500
MALUKU UTARA,2018,9600
