Provinsi,Tahun,Daging_Sapi_Ton
BANTEN,2010,20326
BANTEN,2011,25806
BANTEN,2012,36121
BANTEN,2013,36676
BANTEN,2014,37672
BANTEN,2015,37163.61
BANTEN,2016,33473.19
BANTEN,2017,30277.11
BANTEN,2018,34946.23
BANTEN,2019,37328.57
BANTEN,2020,41394.26
BALI,2000,7642
BALI,2001,8607
BALI,2002,7500
BALI,2003,6117
BALI,2004,8687
BALI,2005,6896
BALI,2006,7393.79
BALI,2007,5875
BALI,2008,8356
BALI,2009,6283
BALI,2010,6238
BALI,2011,8081
BALI,2012,8759
BALI,2013,8964
BALI,2014,7283
BALI,2015,7743.51
BALI,2016,7810.68
BALI,2017,7215.34
BALI,2018,7431.38
BALI,2019,8255.84
BALI,2020,9081.4
NUSA TENGGARA BARAT,2000,6276
NUSA TENGGARA BARAT,2001,5066
NUSA TENGGARA BARAT,2002,5495
NUSA TENGGARA BARAT,2003,6042
NUSA TENGGARA BARAT,2004,6252
NUSA TENGGARA BARAT,2005,5046.48
NUSA TENGGARA BARAT,2006,7268.99
NUSA TENGGARA BARAT,2007,7609
NUSA TENGGARA BARAT,2008,6767
NUSA TENGGARA BARAT,2009,6567
NUSA TENGGARA BARAT,2010,9287
NUSA TENGGARA BARAT,2011,10958
NUSA TENGGARA BARAT,2012,11228
NUSA TENGGARA BARAT,2013,12688
NUSA TENGGARA BARAT,2014,10847
NUSA TENGGARA BARAT,2015,10593.35
NUSA TENGGARA BARAT,2016,10340.52
NUSA TENGGARA BARAT,2017,9472.32
NUSA TENGGARA BARAT,2018,9551.84
NUSA TENGGARA BARAT,2019,10202.83
NUSA TENGGARA BARAT,2020,10961.61
NUSA TENGGARA TIMUR,2000,3203
NUSA TENGGARA TIMUR,2001,2451
NUSA TENGGARA TIMUR,2002,2762
NUSA TENGGARA TIMUR,2003,2816
NUSA TENGGARA TIMUR,2004,3610
NUSA TENGGARA TIMUR,2005,4342.27
NUSA TENGGARA TIMUR,2006,7517.39
NUSA TENGGARA TIMUR,2007,5898
NUSA TENGGARA TIMUR,2008,8134
NUSA TENGGARA TIMUR,2009,6486
NUSA TENGGARA TIMUR,2010,4507
NUSA TENGGARA TIMUR,2011,8668
NUSA TENGGARA TIMUR,2012,13595
NUSA TENGGARA TIMUR,2013,11083
NUSA TENGGARA TIMUR,2014,11656
NUSA TENGGARA TIMUR,2015,12298.68
NUSA TENGGARA TIMUR,2016,12441.78
NUSA TENGGARA TIMUR,2017,12285.36
NUSA TENGGARA TIMUR,2018,11761.4
NUSA TENGGARA TIMUR,2019,10851
NUSA TENGGARA TIMUR,2020,13116.45
KALIMANTAN BARAT,2000,3179
KALIMANTAN BARAT,2001,3128
KALIMANTAN BARAT,2002,3776
KALIMANTAN BARAT,2003,3926
KALIMANTAN BARAT,2004,4324
KALIMANTAN BARAT,2005,4798.59
KALIMANTAN BARAT,2006,7268.99
KALIMANTAN BARAT,2007,5532
KALIMANTAN BARAT,2008,6767
KALIMANTAN BARAT,2009,6567
KALIMANTAN BARAT,2010,7074
KALIMANTAN BARAT,2011,10437
KALIMANTAN BARAT,2012,7263
KALIMANTAN BARAT,2013,8077
KALIMANTAN BARAT,2014,7274
KALIMANTAN BARAT,2015,5532.25
KALIMANTAN BARAT,2016,5306.38
KALIMANTAN BARAT,2017,5123.9
KALIMANTAN BARAT,2018,5447.37
KALIMANTAN BARAT,2019,5350.23
KALIMANTAN BARAT,2020,5403.99
KALIMANTAN TENGAH,2000,2491
KALIMANTAN TENGAH,2001,1858
KALIMANTAN TENGAH,2002,1614
KALIMANTAN TENGAH,2003,2990
KALIMANTAN TENGAH,2004,2971
KALIMANTAN TENGAH,2005,3038.2
KALIMANTAN TENGAH,2006,3001.41
KALIMANTAN TENGAH,2007,4779
KALIMANTAN TENGAH,2008,4898
KALIMANTAN TENGAH,2009,2564
KALIMANTAN TENGAH,2010,5224
KALIMANTAN TENGAH,2011,3116
KALIMANTAN TENGAH,2012,4154
KALIMANTAN TENGAH,2013,4277
