Provinsi,Tahun,Daging_Ayam_Pedaging_Ton
JAWA TIMUR,2016,219833.24
JAWA TIMUR,2017,472079.96
JAWA TIMUR,2018,480309.46
JAWA TIMUR,2019,506731.16
JAWA TIMUR,2020,474868.84
BANTEN,2000,0
BANTEN,2001,37289
BANTEN,2002,89495
BANTEN,2003,17752
BANTEN,2004,23431
BANTEN,2005,16542
BANTEN,2006,6970
BANTEN,2007,29751
BANTEN,2008,69333
BANTEN,2009,53089.16
BANTEN,2010,86089.07
BANTEN,2011,114568
BANTEN,2012,111159
BANTEN,2013,109029
BANTEN,2014,96554
BANTEN,2015,73488.06
BANTEN,2016,87216.62
BANTEN,2017,284380.72
BANTEN,2018,285064.79
BANTEN,2019,221341.53
BANTEN,2020,207423.98
BALI,2000,15477
BALI,2001,14883
BALI,2002,2670
BALI,2003,21377
BALI,2004,24623
BALI,2005,20530
BALI,2006,20354
BALI,2007,18553
BALI,2008,19046
BALI,2009,20139.67
BALI,2010,20679.45
BALI,2011,23750
BALI,2012,22469
BALI,2013,7826
BALI,2014,8888
BALI,2015,10453.52
BALI,2016,9865.54
BALI,2017,109285.94
BALI,2018,110328.92
BALI,2019,85430.75
BALI,2020,80059.02
NUSA TENGGARA BARAT,2000,3174
NUSA TENGGARA BARAT,2001,177
NUSA TENGGARA BARAT,2002,3150
NUSA TENGGARA BARAT,2003,
NUSA TENGGARA BARAT,2004,
NUSA TENGGARA BARAT,2005,236
NUSA TENGGARA BARAT,2006,15303
NUSA TENGGARA BARAT,2007,20037
NUSA TENGGARA BARAT,2008,2001
NUSA TENGGARA BARAT,2009,12228.42
NUSA TENGGARA BARAT,2010,14539.24
NUSA TENGGARA BARAT,2011,15176
NUSA TENGGARA BARAT,2012,3432
NUSA TENGGARA BARAT,2013,4553
NUSA TENGGARA BARAT,2014,8562
NUSA TENGGARA BARAT,2015,8256.7
NUSA TENGGARA BARAT,2016,6834.89
NUSA TENGGARA BARAT,2017,32126.05
NUSA TENGGARA BARAT,2018,29477.84
NUSA TENGGARA BARAT,2019,33869.52
NUSA TENGGARA BARAT,2020,31739.87
NUSA TENGGARA TIMUR,2000,248
NUSA TENGGARA TIMUR,2001,299
NUSA TENGGARA TIMUR,2002,285
NUSA TENGGARA TIMUR,2003,286
NUSA TENGGARA TIMUR,2004,273
NUSA TENGGARA TIMUR,2005,6
NUSA TENGGARA TIMUR,2006,30
NUSA TENGGARA TIMUR,2007,6
NUSA TENGGARA TIMUR,2008,139
NUSA TENGGARA TIMUR,2009,224
NUSA TENGGARA TIMUR,2010,227.91
NUSA TENGGARA TIMUR,2011,525
NUSA TENGGARA TIMUR,2012,567
NUSA TENGGARA TIMUR,2013,631
NUSA TENGGARA TIMUR,2014,650
